id,posStat1,posStat2
4705855,"[46.3, 47.8, 48.0, 47.4, 46.6, 45.9, 45.9, 47.7, 47.2, 47.5, 47.3, 46.8, 46.6]","[185.0, 287.0, 528.0, 901.0, 1165.0, 1284.0, 1284.0, 1479.0, 1747.0, 1946.0, 2225.0, 2431.0, 2611.0]"
4716507,[],[]
4726128,[],[]
4726152,[],[]
4808765,[],[]
4808990,[],[]
4831971,[],[]
4832799,[],[]
4833021,[],[]
4833027,[],[]
4869310,[],[]
4872829,[],[]
4875378,[],[]
4879864,[],[]
4879866,[],[]
4879867,[],[]
4879869,[],[]
4879871,[],[]
4879872,[],[]
4879873,[],[]
4880275,[],[]
4902963,[],[]
4915279,"[6.0, 11.0, 16.0, 23.0, 30.0, 31.0, 31.0, 33.0, 40.0, 42.0, 45.0, 47.0, 48.0]","[12.0, 23.0, 31.0, 46.0, 56.0, 63.0, 63.0, 72.0, 83.0, 97.0, 104.0, 107.0, 120.0]"
5091765,[],[]
5091772,[],[]
5091774,[],[]
5091775,[],[]
5091776,[],[]
5092988,[],[]
552949,"[0.0, 2.0, 4.0, 7.0, 7.0, 11.0, 15.0, 15.0, 15.0, 15.0, 15.0, 16.0, 16.0]","[1.0, 4.0, 9.0, 19.0, 23.0, 27.0, 33.0, 37.0, 37.0, 37.0, 41.0, 45.0, 47.0]"
4241387,"[22.0, 61.0, 71.0, 119.0, 203.0, 250.0, 304.0, 344.0, 362.0, 362.0, 394.0, 413.0, 413.0]","[4.0, 7.0, 10.0, 14.0, 20.0, 25.0, 29.0, 33.0, 35.0, 35.0, 39.0, 41.0, 41.0]"
4246120,"[1.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0]","[2.0, 5.0, 6.0, 6.0, 7.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 13.0]"
4247940,[],[]
4247942,"[58.0, 147.0, 259.0, 402.0, 475.0, 565.0, 719.0, 808.0, 871.0, 871.0, 929.0, 950.0, 1013.0]","[0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0]"
4257186,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4360131,"[267.0, 537.0, 800.0, 1067.0, 1532.0, 1820.0, 2124.0, 2435.0, 2632.0, 2632.0, 2912.0, 3094.0, 3408.0]","[2.0, 4.0, 7.0, 9.0, 15.0, 16.0, 17.0, 18.0, 18.0, 18.0, 20.0, 20.0, 23.0]"
4360141,"[3.0, 5.0, 6.0, 9.0, 12.0, 14.0, 17.0, 20.0, 22.0, 22.0, 24.0, 24.0, 30.0]","[6.0, 8.0, 15.0, 22.0, 27.0, 31.0, 35.0, 41.0, 44.0, 44.0, 49.0, 49.0, 60.0]"
4360154,[],"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
4360157,[],[]
4360159,[],[]
4360160,"[3.0, 3.0, 5.0, 7.0, 9.0, 13.0, 17.0, 18.0, 21.0, 21.0, 22.0, 26.0, 26.0]","[11.0, 13.0, 17.0, 22.0, 30.0, 34.0, 39.0, 43.0, 49.0, 49.0, 53.0, 62.0, 62.0]"
4360162,"[1.0, 1.0, 1.0, 4.0, 5.0, 6.0, 8.0, 9.0, 15.0, 15.0, 16.0, 17.0, 23.0]","[2.0, 2.0, 5.0, 11.0, 13.0, 16.0, 20.0, 23.0, 30.0, 30.0, 33.0, 34.0, 46.0]"
4360407,"[19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4360994,"[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4361441,"[0.0, 0.0, 1.0, 3.0, 5.0, 6.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0]","[3.0, 4.0, 5.0, 7.0, 10.0, 11.0, 13.0, 17.0, 18.0, 18.0, 19.0, 20.0, 22.0]"
4362488,"[1.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[1.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 5.0]"
4366082,"[1.0, 1.0, 3.0, 6.0, 8.0, 9.0, 11.0, 13.0, 17.0, 17.0, 17.0, 19.0, 20.0]","[4.0, 6.0, 9.0, 20.0, 23.0, 24.0, 27.0, 30.0, 41.0, 41.0, 46.0, 50.0, 51.0]"
4368236,[],[]
4371607,[],[]
